County/ Sub-County,Conventional Households,"Main Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private company ","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open",Buried,Composit pit,Burnt in pit,Not stated
KAJIADO CENTRAL,37059,13,0.7,6.6,3,0.5,2.6,33.8,4.3,5.3,30.1,0
KAJIADO NORTH,100908,13,3.9,41.1,2,1,1.5,20.1,0.3,3.9,13.2,0
KAJIADO WEST,42367,2,0.5,9.6,3.5,0.8,4.7,41,6.6,7.6,23.8,0
LOITOKITOK,45581,2.2,0.4,1.2,5.2,1.4,6,41.1,6.2,9,27.3,0
MASHUURU,15908,0.1,0.4,1,3.7,0.8,5.4,28.9,0.7,8.4,50.7,0
KERICHO,205932,7.4,0.2,3.3,4.2,1,5.8,39.7,3.1,8.4,27,0
BELGUT,34978,4.2,0.2,11.5,3.7,0.2,7,29.6,2.6,13.2,27.7,0
BURETI,43098,4.2,0.1,0.7,2.9,0.2,6.4,41.1,3.5,9.7,31.1,0
KERICHO EAST,44246,24.4,0.4,3,3.2,3.3,4.6,31.5,1.8,6.1,21.7,0.1
KIPKELION,24676,0,0.1,0,5,0.1,7.1,51.8,4.2,6.1,25.5,0
LONDIANI,31739,2.8,0.2,3,8.3,0.6,5.9,42,4.7,5.7,26.7,0
SOIN SIGOWET,27195,0.8,0.1,0.3,3,0.4,4.1,50.2,1.9,8.8,30.3,0
BOMET,187230,2.1,0.1,2.5,2.2,0.2,2.8,44.8,1.9,5.7,37.8,0
BOMET EAST,29897,1.4,0.1,0,1.4,0.1,3.1,57.3,2,4.5,30.1,0
CHEPALUNGU,33850,0.1,0,0,0.3,0,1.4,45.2,0.8,1.2,51.1,0
KONOIN,38123,1,0,11,3.9,0.1,2.1,33.5,3.6,16.4,28.3,0
SOTIK,47265,1.9,0.2,0.7,2.4,0.4,3.6,48.3,1.6,3.2,37.6,0
BOMET CENTRAL,38095,5.8,0.2,0.3,2.2,0.1,3.5,41.7,1.6,3.1,41.6,0
KAKAMEGA,432284,0.8,0.1,0.6,10.3,1.8,3.9,10.3,3.9,64.2,4.1,0
BUTERE,36243,0.1,0,0.2,6.5,1.5,3.8,3.9,3.7,78.4,1.9,0
KAKAMEGA CENTRAL,51956,3.7,0.5,2.9,7.9,1.5,3.6,8.4,1.5,63.9,6,0
KAKAMEGA EAST,39589,0.2,0.1,0.2,12.8,1.1,6.5,11.1,3.4,59.4,5,0.1
KAKAMEGA NORTH,50952,0.2,0,0.2,9.7,1.9,5.6,9.1,4.9,65,3.4,0
KAKAMEGA SOUTH,26940,0.1,0,0.1,13.9,1.6,2.3,11.8,4.2,63.2,2.8,0
KHWISERO,27681,0.1,0,0.1,5.3,0.6,2.9,7.1,2.2,79.4,2.4,0
LIKUYANI,34776,0.2,0.1,0.2,9.5,1.4,5.8,17.9,5.5,51.8,7.5,0
LUGARI,27817,0,0,0.1,9.8,1,2.2,15.4,3.7,61.9,5.8,0
MATETE,13956,0.1,0,0.2,12.5,1,3.9,12.1,4.2,61.8,4.3,-
MATUNGU,36414,0.2,0.3,0.2,14,3.2,1.8,11.9,4.1,61.2,3.1,0
MUMIAS EAST,25995,0.7,0,0.2,12.8,2.5,3.6,7.6,4.6,65.5,2.4,0
MUMIAS WEST,27650,3.4,0.1,1.7,6.9,2.8,3.3,11.1,5.2,60.4,5.1,0
NAVAKHOLO,32315,0,-,0.1,14.8,2.8,3.7,8.7,4.6,62.8,2.5,0
VIHIGA,143288,1,0.1,0.1,10.1,0.4,2.6,9.8,3.6,68.4,3.8,0
EMUHAYA,23803,0.3,0,0,5.5,0.7,2.4,4.2,2.2,82.6,1.9,0
VIHIGA,23359,1.6,0,0.1,9.3,0.3,3.1,12.3,5.8,64.2,3.2,0
SABATIA,31391,1.5,0.1,0.1,12.1,0.2,2.1,10.5,3.4,65.6,4.4,0
LUANDA,26766,1.2,0.2,0.3,5.6,0.1,2.6,8.6,2.3,73.2,5.9,0
HAMISI,37965,0.5,0,0.1,15,0.8,2.9,12.1,4.3,61.1,3.3,0
KAKAMEGA FOREST,4,-,-,-,-,-,-,-,25,75,-,-
BUNGOMA,357714,1.5,0.1,0.5,12.3,1.5,4.3,13.3,4.1,57.9,4.6,0
BUMULA,44922,0.3,0,0.1,14.6,1.8,5.6,15.8,4.9,54.3,2.6,0
BUNGOMA CENTRAL,37535,0.6,0.1,0.1,8.9,1.5,5.1,8.9,3,68.5,3.3,0
BUNGOMA EAST,24798,0.6,0.1,0.4,9.1,0.4,3.8,13.7,5.8,60.3,5.9,0
BUNGOMA NORTH,24940,0.1,0,0.3,11.3,1.1,4.3,12.5,3.3,64.5,2.7,0
BUNGOMA SOUTH,69088,4.9,0.5,1.6,8.2,1.7,4.6,12.5,3,55.2,7.9,0
CHEPTAIS,26007,0.2,0,0.1,21.1,2.2,5.4,20.9,6.3,40.8,2.9,0
KIMILILI,35053,1.5,0.1,0.2,12.9,0.6,2.9,9.4,3.2,65.9,3.3,0
MT. ELGON,15230,0.4,-,0.2,15.5,1.6,4.3,18.8,5,49,5.1,0
BUNGOMA WEST,25166,0.1,0,0.1,14.6,1.8,4.3,13.7,4.6,57.5,3.2,0
TONGAREN,21343,0.1,0,0.1,14.8,1.8,4.5,14.3,4.8,55,4.4,0
WEBUYE WEST,32834,2.6,0.2,0.3,11.6,1.6,1.7,11,3.5,61.6,6,0
MT. ELGON FOREST,798,-,-,0.1,36,-,1.4,27.2,2.6,32,0.8,-
BUSIA,197944,2,0.2,0.6,10.3,3,4,18.3,5.2,47.8,8.7,0
BUNYALA,19028,0.3,0.1,0.3,7,1.6,2.7,32,2.3,26.7,27,0
BUSIA,33152,6.3,0.5,1.4,8.6,2.6,6.4,16.5,4.4,45.3,7.8,0
BUTULA,32199,0.2,0,0.4,9.8,2.1,5.4,11.4,2.9,64.5,3.2,0
NAMBALE,23889,1.3,0.1,0.3,10.5,2.7,2.8,16.3,4.4,56.6,4.8,0
SAMIA,23813,0,0,0.1,10.2,2.7,2.2,21.6,3.9,46.6,12.7,-
TESO NORTH,29314,1.1,0.1,0.5,13.1,4.5,3.9,17.1,9.3,43.3,7.1,0
TESO SOUTH,36549,3,0.2,1,11.5,4.1,3.4,19,7.3,44.8,5.8,0
SIAYA,249341,0.4,0,0.2,10.5,1.8,3.4,26.8,3.1,41.7,12.1,0
SIAYA,57386,0.4,0.1,0.3,10,1.7,2.7,27.3,2.8,40.5,14.2,0.1
GEM,44696,0.3,0,0.1,10.7,1.5,2.1,17.1,3.6,59,5.6,0
UGENYA,33554,0.4,0,0.2,8.8,3,4,14.4,3.6,58.3,7.3,0
UGUNJA,26321,0.4,0,0.2,9.6,1.7,1.9,15.4,2.4,61.8,6.6,0
BONDO,50454,0.8,0,0.4,9.9,1.5,4.4,40.4,2.6,19.9,20,0
RARIEDA,36930,0.3,0,0.1,13.9,1.4,5.2,38.5,3.5,23.1,14,0.1
KISUMU,296846,2.5,2.5,5,6.2,1.5,5.4,39.7,2.7,18.5,15.9,0
KISUMU EAST,61499,3.6,1.3,5,4.8,1.5,5.9,47.3,2,11.9,16.8,0
KISUMU CENTRAL,52163,7.9,12.3,20,3.4,3.5,1.9,31.7,1.3,8.8,9.4,0
KISUMU WEST,42785,1,0.2,1.5,6.3,1.2,5.9,33.9,2.5,28.5,19,0
SEME,29404,0,0,0.1,12.8,0.9,6.5,22.4,3.2,40.8,13.3,0
MUHORONI,36982,1,0.1,1.6,7.3,0.9,5.1,52.1,3.8,15.4,12.6,0
NYANDO,38460,0.4,0.3,0.4,6.1,0.4,6.8,51.7,4.6,11,18.3,0
NYAKACH,35553,0.3,0,0.2,6.4,1.2,6.7,34,2.9,24.8,23.5,0
HOMA BAY,260290,1.2,0.1,0.5,11.7,1.5,6.4,37.3,4.8,21.3,15.2,0
HOMA BAY,28471,5.2,0.3,1.3,6.6,2.3,5.1,37.4,4.3,17,20.3,0
NDHIWA,47956,0.3,0,0.5,14.3,1.3,4.9,30.4,5.8,28.4,14,0
RACHUONYO NORTH,41661,0.1,0.1,0.4,12.1,1,8.1,42,3.6,15.6,16.9,0
RACHUONYO EAST,27229,0.2,0,0.1,11.2,1.6,4.1,34.7,5.8,30.3,12,0
RACHUONYO SOUTH,30693,2.2,0.1,0.5,11,1.8,7,32.8,5.1,26.6,13,0
RANGWE,26983,0.7,0.1,0.3,10.6,0.9,7.2,30.1,5.3,29.1,15.7,0
SUBA NORTH,29662,0.9,0.3,0.9,8.9,2,7.6,49.1,2.3,10.7,17.3,0
SUBA SOUTH,27635,0.6,0,0.1,17.1,1.7,6.9,43.7,6.6,10.8,12.4,0
MIGORI,238133,1.8,0.2,0.9,10,3.3,6.1,30.6,4.9,26.7,15.5,0
AWENDO,27014,1.7,0,1.4,10.6,4.8,6.6,26.1,4.6,29,15.1,0
KURIA EAST,17267,0.3,0,0.2,11.6,4.8,5.2,26.5,5.1,32.8,13.4,0
KURIA WEST,39723,5.6,0.3,1.6,12.4,5.1,5.2,24.4,5.1,30.2,10.2,0
NYATIKE,39358,0.2,0.1,0.1,8.6,1.7,5.7,44.4,3.7,13.2,22.3,0
RONGO,29007,0.8,0.1,0.8,6.7,1.9,10.7,27.8,4.4,32.1,14.8,0
SUNA EAST,27214,3.5,0.5,1.7,10.4,4.1,3.7,22.9,4.9,29.8,18.5,0.1
SUNA WEST,28839,0.7,0.4,1,7.3,2.5,7.5,34.9,5,23.5,17.2,0
URIRI,29711,0.2,0,0.2,12.3,2.4,4.6,32.9,6.8,29.2,11.3,0
KISII,307254,5.2,0.3,0.6,15.9,2.3,4.5,31.5,8.4,23.3,7.9,0
ETAGO,18610,0.4,0,0.1,15.4,4.9,3.5,34.2,10.8,24.3,6.5,0
GUCHA,19621,3.3,0.1,0.1,20,2.1,3.7,26.1,8.7,28.8,6.9,0
GUCHA SOUTH,19627,0.5,0.1,0.2,13.2,2.5,5.1,38.8,10.1,21.5,8.1,0
KENYENYA,30985,2,0.2,0.2,23,3.3,5.1,30.6,7.9,22,5.7,0
KISII CENTRAL,44037,18.8,0.7,1,13.5,1.5,3.5,25.5,5.7,21.9,7.9,0
KISII SOUTH,31574,1.4,0.4,0.4,15,3,6.1,32.2,12.5,22.3,6.7,0
KITUTU CENTRAL,41233,11.4,0.7,2.1,12.7,1.8,4.3,29.1,5.8,23.3,8.8,0
MARANI,26133,0.1,0,0.1,19.6,2.9,6,25.2,10.8,26.8,8.5,0
MASABA SOUTH,29206,1.9,0,0.1,13.9,0.7,5.6,35.7,8.3,23.9,9.8,0
NYAMACHE,30583,1.7,0,0.1,13.8,1.9,3.9,37.7,7.5,24,9.4,0
SAMETA,15645,0.8,0,0.2,19.7,3,2.3,40.7,7.7,17.9,7.6,0
NYAMIRA,150499,2.6,0.1,0.9,16.5,1.3,3.7,29.7,7.4,28.6,9.1,0
BORABU,19404,3.3,0,5.1,11.4,0.7,4.8,31.5,6.2,25.3,11.7,0
MANGA,23836,2,0,0.5,16.7,1,4.4,35,6.2,25.9,8.2,0
MASABA NORTH,27904,3.9,0.3,0.2,13.8,0.7,4.3,26.2,4.9,34.8,11,0
NYAMIRA NORTH,40396,0.9,0.1,0.2,16.1,2.1,2.9,30.3,10.6,28.5,8.4,0
NYAMIRA SOUTH,38959,3.5,0.1,0.3,21.3,1.4,3.1,27.6,7.1,27.6,7.9,0
NAIROBI CITY,1494676,12.9,37.9,30,1.6,7.8,0.9,4.5,0.1,2.2,2,0.1
DAGORETTI,154949,10.2,21.4,43.2,2.9,2,1.2,9.2,0.2,4.6,5,0.1
EMBAKASI,346462,14.5,41.3,30.2,1.5,5.8,0.6,2.7,0.1,2.4,0.7,0
KAMUKUNJI,83680,20.4,37.4,27.9,1.9,8.2,1.2,1.2,0.2,1.1,0.5,0.1
KASARANI,268611,10.3,45.5,32.3,1,3.6,0.6,3.8,0.1,1.2,1.6,0
KIBRA,61651,6.5,20.7,15.3,2.9,42.6,2.3,5,0.2,3.3,1.2,0
LANG'ATA,60187,13,5.7,47.7,2.1,17.8,1.5,5.2,0.2,3,3.7,0.1
MAKADARA,70080,13.7,49.8,21,1.4,7.8,0.5,3.6,0.1,1.4,0.7,0
MATHARE,74967,12,55.1,8.1,1.4,20.1,0.7,0.8,0.1,1.4,0.2,0.1
NJIRU,204492,8.4,59.7,14,0.7,3,0.6,8.3,0.1,1,4.1,0.1
STAREHE,66108,24.7,21.2,31.6,1.8,15.1,1.6,1.5,0,1.9,0.6,0.1
WESTLANDS,103489,18.1,8.5,56.3,1.5,2.7,1.5,4.4,0.3,4,2.6,0
