Kuria West     ,101090,107417,6,208513,,,,,,,,,,,,,,,,,,,
Nyatike       ,83989,92164,9,176162,,,,,,,,,,,,,,,,,,,
Rongo       ,59257,65329,1,124587,,,,,,,,,,,,,,,,,,,
Suna East      ,58977,63694,3,122674,,,,,,,,,,,,,,,,,,,
Suna West     ,61430,67459,1,128890,,,,,,,,,,,,,,,,,,,
Uriri        ,68127,73318,3,141448,,,,,,,,,,,,,,,,,,,
Kisii        ,605784,661038,38,1266860,,,,,,,,,,,,,,,,,,,
Etago       ,40137,43647,3,83787,,,,,,,,,,,,,,,,,,,
Gucha       ,39631,44108,1,83740,,,,,,,,,,,,,,,,,,,
Gucha South    ,40022,43598,3,83623,,,,,,,,,,,,,,,,,,,
Kenyenya      ,62859,68878,3,131740,,,,,,,,,,,,,,,,,,,
Kisii Central     ,81330,85573,3,166906,,,,,,,,,,,,,,,,,,,/. 'nbv
Kisii South     ,64514,70615,5,135134,,,,,,,,,,,,,,,,,,,
Kitutu Central    ,74608,79561,6,154175,,,,,,,,,,,,,,,,,,,
Marani       ,50598,56864,2,107464,,,,,,,,,,,,,,,,,,,
Mas aba South    ,58143,64248,5,122396,,,,,,,,,,,,,,,,,,,
Nyam ache     ,62113,68782,3,130898,,,,,,,,,,,,,,,,,,,
Sameta       ,31829,35164,4,66997,,,,,,,,,,,,,,,,,,,
Nyamira       ,290907,314656,13,605576,,,,,,,,,,,,,,,,,,,
Borabu       ,36736,36431,,73167,,,,,,,,,,,,,,,,,,,
Manga       ,44868,49339,2,94209,,,,,,,,,,,,,,,,,,,
Mas aba North    ,52884,58974,2,111860,,,,,,,,,,,,,,,,,,,
Nyam ira North    ,80314,86947,6,167267,,,,,,,,,,,,,,,,,,,
Nyam ira South    ,76105,82965,3,159073,,,,,,,,,,,,,,,,,,,
Nairobi City      ,2192452,2204376,245,4397073,,,,,,,,,,,,,,,,,,,
Dagoretti      ,217651,216526,31,434208,,,,,,,,,,,,,,,,,,,
Embakasi      ,492476,496270,62,988808,,,,,,,,,,,,,,,,,,,
Kamukunji     ,136670,131599,7,268276,,,,,,,,,,,,,,,,,,,
Kasarani      ,381234,399385,37,780656,,,,,,,,,,,,,,,,,,,
Kibra        ,94199,91569,9,185777,,,,,,,,,,,,,,,,,,,
Lang'ata      ,96698,100774,17,197489,,,,,,,,,,,,,,,,,,,
Makadara      ,96369,93157,10,189536,,,,,,,,,,,,,,,,,,,
Mathare       ,106522,100028,14,206564,,,,,,,,,,,,,,,,,,,
Njiru        ,307642,318809,31,626482,,,,,,,,,,,,,,,,,,,
Starehe       ,109173,101238,12,210423,,,,,,,,,,,,,,,,,,,
Westlands      ,153818,155021,15,308854,,,,,,,,,,,,,,,,,,,
