Region,Total,Male,Female
MWIMBI,"25,034","12,606","12,428"
IRUMA,"6,220","3,174","3,046"
IKUU,"3,471","1,751","1,720"
IRUMA,"2,749","1,423","1,326"
KAARE,"4,986","2,556","2,430"
MURAGARA,"1,838",954,884
NTUNENI,"3,148","1,602","1,546"
KIERA,"7,583","3,750","3,833"
KARII,"1,960","1,044",916
KATHINGITU,708,361,347
MAGUTUNI,"4,915","2,345","2,570"
MAARA,"6,245","3,126","3,119"
KIROO,"3,608","1,797","1,811"
THIGAA,"2,637","1,329","1,308"
MERU SOUTH,"91,080","44,923","46,155"
CHUKA,"53,408","26,300","27,106"
GITARENI,"8,965","4,330","4,634"
GITARENI,"3,399","1,667","1,731"
KAARANI,"2,359","1,139","1,220"
KIAMUCII,"3,207","1,524","1,683"
KARINGANI,"11,516","5,795","5,721"
NDAGANI,"6,330","3,177","3,153"
NJAINA,"1,210",624,586
RUKINDU,"3,976","1,994","1,982"
KIANG'ONDU,"18,134","8,840","9,293"
KIANG'ONDU,"4,366","2,180","2,186"
MUCWA,"4,050","2,128","1,922"
CHUKA TOWNSHIP,"9,718","4,532","5,185"
MUGWE,"9,399","4,691","4,708"
KIREGE,"3,470","1,752","1,718"
MUGIRIRWA,"5,929","2,939","2,990"
MUIRU,"5,394","2,644","2,750"
MUIRU,"3,141","1,546","1,595"
NKUTHIKA,"2,253","1,098","1,155"
MAGUMONI,"21,785","10,803","10,982"
MAGUMONI,"6,302","3,087","3,215"
NJURI,"2,122","1,054","1,068"
NTHAMBO,"4,180","2,033","2,147"
MUKUUNI,"8,531","4,251","4,280"
KARAMANI,"4,190","2,099","2,091"
KINORU,"2,648","1,302","1,346"
MUKUUNI,"1,693",850,843
THIUTA,"6,952","3,465","3,487"
KATHATWA,"3,427","1,736","1,691"
THUITA,"3,525","1,729","1,796"
MWONGE,"15,887","7,820","8,067"
KABUBONI,"4,721","2,300","2,421"
KABUBONI,"2,874","1,409","1,465"
KANYAKINI,"1,847",891,956
MWONGE,"7,078","3,503","3,575"
KAGUMO,"1,501",761,740
KARAMANI,"2,714","1,330","1,384"
MWONGE,"2,863","1,412","1,451"
RUBATE,"4,088","2,017","2,071"
KANTHIIRI,"1,568",757,811
RUBATE,"2,520","1,260","1,260"
THARAKA NORTH,"58,345","28,290","30,053"
GATUE,"35,585","17,351","18,232"
GATUE,"7,723","3,713","4,010"
GATUNGA,"7,723","3,713","4,010"
KATHANGACHINI,"9,934","4,951","4,981"
KATHANGACHINI,"5,396","2,706","2,690"
TWANTHANJU,"4,538","2,245","2,291"
MARAGWA,"8,216","3,956","4,260"
KAMAGUNA,"4,105","1,974","2,131"
KAMWATHU,"4,111","1,982","2,129"
KANJORO,"9,712","4,731","4,981"
KANJORO,"5,212","2,514","2,698"
MAUTHINI,"4,500","2,217","2,283"
MUKOTHIMA,"22,760","10,939","11,821"
GIKINGO,"13,131","6,273","6,858"
IRUNDINI,"7,266","3,487","3,779"
MUKOTHIMA,"5,865","2,786","3,079"
NTORONI,"4,653","2,269","2,384"
NTORONI/GATITHINE,"4,653","2,269","2,384"
THIITI,"4,976","2,397","2,579"
KIRUNDI,"2,726","1,289","1,437"
THIITI,"2,250","1,108","1,142"
THARAKA SOUTH,"75,250","36,190","39,058"
NKONDI,"15,395","7,447","7,948"
MATAKIRI,"5,776","2,770","3,006"
KERERIA,"2,715","1,277","1,438"
MATAKIRI,"3,061","1,493","1,568"
MWANYANI,"3,765","1,811","1,954"
MWANYANI/KABOTO,"3,496","1,669","1,827"
TUMBURA,269,142,127
NKONDI,"5,854","2,866","2,988"
NKONDI,"3,480","1,705","1,775"
RUKURINI,"2,374","1,161","1,213"
THARAKA CENTRAL,"19,954","9,691","10,263"
GITUMA,"3,829","1,876","1,953"
GITUMA,"1,944",958,986
KAGUMA,"1,885",918,967
MARIMANTI,"10,903","5,346","5,557"
KAMATUNGU,"4,177","2,096","2,081"
KIRANGARE,"1,548",752,796
KITHIGIRI,"3,079","1,504","1,575"
MARIMANTI,"2,099",994,"1,105"
NTUGI,"5,222","2,469","2,753"
KANYURU,"2,863","1,353","1,510"
RUKENYA,"2,359","1,116","1,243"
THARAKA SOUTH,"21,090","9,950","11,138"
CHIAKARIGA,"5,987","2,821","3,165"
CHIAKARIGA,"3,809","1,832","1,977"
MATIRI,"2,178",989,"1,188"
KAMANYAKI,"3,155","1,482","1,673"
KAMANYAKI,"1,652",783,869
KIRUKUMA,"1,503",699,804
KAMARANDI,"4,946","2,309","2,636"
KAMARANDI,"3,188","1,491","1,696"
UTURINI,"1,758",818,940
NKARINI,"7,002","3,338","3,664"
GACERAKA,"2,765","1,304","1,461"
NKARINI,"4,237","2,034","2,203"
TUNYAI,"10,305","5,013","5,292"
GAKURUNGU,"2,735","1,319","1,416"
GAKURUNGU,"1,241",600,641
MWERERA,"1,494",719,775
TUNYAI,"7,570","3,694","3,876"
GAKIRWE,329,165,164
KITHINO,"1,521",734,787
TUBUI,"1,507",743,764
TUNYAI,"4,213","2,052","2,161"
TURIMA,"8,506","4,089","4,417"
KAROCHO,"5,150","2,489","2,661"
IBOTE,"3,592","1,731","1,861"
KAROCHO,"1,558",758,800
TURIMA,"3,356","1,600","1,756"
KATHUURA,321,176,145
TURIMA,"3,035","1,424","1,611"
MT. KENYA FOREST,398,208,190
MT. KENYA FOREST,398,208,190
MT. KENYA FOREST,398,208,190
MT. KENYA FOREST,398,208,190
EMBU,"608,599","304,208","304,367"
EMBU EAST,"129,564","64,571","64,991"
KYENI,"51,352","25,575","25,777"
KYENI CENTRAL,"6,962","3,520","3,442"
KATHANJURI,"4,477","2,230","2,247"
NYAGARI,"2,485","1,290","1,195"
KYENI EAST,"7,831","3,931","3,900"
KIGUMO,"5,509","2,736","2,773"
MUKURIA,"2,322","1,195","1,127"
KYENI N.EAST,"10,790","5,302","5,488"
IRIARI,"3,612","1,768","1,844"
KATHARI,"3,798","1,840","1,958"
KIANGUNGI,"3,380","1,694","1,686"
KYENI N.WEST,"11,460","5,594","5,866"
MUFU,"5,375","2,598","2,777"
NJERURI,"3,125","1,537","1,588"
RUKURIRI,"2,960","1,459","1,501"
KYENI SOUTH,"14,309","7,228","7,081"
KARIRU,"4,991","2,606","2,385"
KARURUMO,"5,802","2,876","2,926"
KASAFARI,"1,512",764,748
KATHUNGURI,"2,004",982,"1,022"
RUNYENJES,"78,212","38,996","39,214"
KAGAARI N.EAST,"12,178","6,018","6,160"
KANJA NORTH,"3,752","1,796","1,956"
KANJA SOUTH,"3,493","1,740","1,753"
MUKUURI,"2,414","1,182","1,232"
NDUURI,"2,519","1,300","1,219"
KAGAARI S.EAST,"11,498","5,845","5,653"
GICHERA,"6,379","3,213","3,166"
KIRINGA,"5,119","2,632","2,487"
KAGAARI S.WEST,"13,899","7,025","6,874"
KAWANJARA,"4,687","2,317","2,370"
MARANGA,"2,385","1,245","1,140"
NTHAGAIYA,"6,827","3,463","3,364"
RUNYENJES EAST,"13,366","6,618","6,746"
GICHICHE,"5,378","2,649","2,728"
KIGAA,"4,635","2,329","2,305"
MWENENDEGA,"3,353","1,640","1,713"
RUNYENJES WEST,"12,333","6,170","6,163"
GIKUURI,"5,655","2,828","2,827"
GITARE,"3,439","1,714","1,725"
MBIRURI,"3,239","1,628","1,611"
KAGAARI N WEST,"14,938","7,320","7,618"
KAMUGURE,"1,630",815,815
KIANJOKOMA,"4,924","2,398","2,526"
MBUINJERU,"3,741","1,835","1,906"
MUGUI,"4,643","2,272","2,371"
EMBU NORTH,"79,556","39,665","39,888"
MANYATTA,"79,556","39,665","39,888"
GATURI NORTH,"14,190","7,048","7,141"
KAVUTIRI,"4,400","2,216","2,184"
KIANJUKI,"4,827","2,442","2,385"
ITONGURI,"4,963","2,390","2,572"
KATHANGARIRI,"9,618","4,787","4,831"
NGUVIU,"6,206","3,041","3,165"
RUGUMU,"3,412","1,746","1,666"
KIBUGU,"10,528","5,207","5,321"
GICHERORI,"4,612","2,234","2,378"
KIBUGU,"2,959","1,487","1,472"
NGERWE,"2,957","1,486","1,471"
MBUVORI,"9,166","4,639","4,527"
MBUVORI,"9,166","4,639","4,527"
NGANDORI EAST,"14,485","7,143","7,342"
KAMVIU,"2,162","1,112","1,050"
KARIARI,"2,491","1,214","1,277"
KIRIGI,"3,460","1,692","1,768"
MANYATTA,"2,946","1,464","1,482"
RIANJAGI,"3,426","1,661","1,765"
NGANDORI WEST,"11,315","5,725","5,588"
KAIRURI,"2,804","1,407","1,397"
KATHANGARI,"1,944","1,007",937
KITHUNGURURU,"3,407","1,734","1,671"
MUKANGU,"3,160","1,577","1,583"
RUGURU,"10,254","5,116","5,138"
KIAMWINJA,910,472,438
KIRIARI,"4,045","1,980","2,065"
KITHUNGURIRI,"3,080","1,528","1,552"
MUKURIA,"2,219","1,136","1,083"
EMBU WEST,"127,100","63,125","63,966"
CENTRAL,"79,561","39,171","40,381"
KANGARU,"29,401","13,968","15,430"
KAMIU,"19,828","9,360","10,466"
NJUKIRI,"6,032","2,854","3,177"
NTHAMBO,"3,541","1,754","1,787"
MBETI NORTH,"27,244","14,199","13,044"
GATITURI,"7,139","3,661","3,477"
ITABUA,"14,042","7,544","6,498"
KIANGIMA,"6,063","2,994","3,069"
MUNICIPALITY,"22,916","11,004","11,907"
MUNICIPALITY EAST,"17,019","8,041","8,973"
MUNICIPALITY WEST,"5,897","2,963","2,934"
NEMBURE,"47,539","23,954","23,585"
GATURI SOUTH,"14,936","7,506","7,430"
ENA EAST,"3,500","1,732","1,768"
GATUNDURI,"6,323","3,181","3,142"
NEMBURE,"5,113","2,593","2,520"
KITHIMU,"21,044","10,647","10,397"
ENA WEST,"2,050",993,"1,057"
KITHEGI,"8,019","4,133","3,886"
KITHIMU,"10,975","5,521","5,454"
MAKENGI,"11,559","5,801","5,758"
KEVOTE,"6,065","3,080","2,985"
MAKENGI,"5,494","2,721","2,773"
MBEERESOUTH,"163,476","83,311","80,159"
GACHOKA,"55,690","28,880","26,808"
KIANJIRU,"13,761","7,036","6,725"
KIRIMA,"8,820","4,601","4,219"
NYANGWA,"4,941","2,435","2,506"
MBETI SOUTH,"27,534","14,367","13,165"
GACHOKA,"11,238","5,807","5,431"
GACHURIRI,"9,484","4,968","4,514"
KIAMURINGA,"6,812","3,592","3,220"
MBITA,"14,395","7,477","6,918"
GIKIIRO,"8,257","4,277","3,980"
MBITA,"6,138","3,200","2,938"
KIRITIRI,"45,287","22,878","22,407"
GICHICHE,"7,824","3,943","3,881"
GICHICHE,"3,629","1,799","1,830"
NJIGO,"4,195","2,144","2,051"
KIAMBERE,"6,624","3,336","3,288"
KIAMBERE,"5,015","2,500","2,515"
NTHARAWE,"1,609",836,773
KITHUNTHIRI,"9,879","5,028","4,850"
GACEGETHIORI,"4,080","2,063","2,017"
KITHUNTHIRI,"5,799","2,965","2,833"
MAVURIA,"10,270","5,218","5,051"
KOMBO MUNYIRI,"5,468","2,762","2,705"
MAVURIA,"4,802","2,456","2,346"
MUTUOBARE,"10,690","5,353","5,337"
GACABARI,"2,857","1,380","1,477"
KINDARUMA,"7,833","3,973","3,860"
MAKIMA,"28,722","14,792","13,930"
MAKIMA,"28,722","14,792","13,930"
MAKIMA,"9,986","5,214","4,772"
MBONDONI,"9,977","5,165","4,812"
MWEA GRAZING,"8,759","4,413","4,346"
MWEA,"33,777","16,761","17,014"
KARABA,"21,091","10,418","10,671"
KARABA,"8,871","4,394","4,476"
WACHORO,"12,220","6,024","6,195"
RIAKANAU,"12,686","6,343","6,343"
GATEGI,"4,572","2,231","2,341"
RIAKANAU,"8,114","4,112","4,002"
MBEERE NORTH,"108,881","53,517","55,360"
EVURORE,"50,620","24,236","26,382"
IRIAITUNE,"5,866","2,822","3,044"
IRIAITUNE,"3,939","1,891","2,048"
NGOCE,"1,927",931,996
ISHIARA,"10,252","4,919","5,333"
CIANGERA,"3,115","1,518","1,597"
EVURORE,"7,137","3,401","3,736"
KAMARANDI,"6,470","3,058","3,411"
MUTHANTHARA,"3,205","1,539","1,665"
NDENDERU,"3,265","1,519","1,746"
KANYUAMBORA,"6,021","2,841","3,180"
KAMWAMBIA,"3,570","1,664","1,906"
NGURA,"2,451","1,177","1,274"
KIANG'OMBE,"4,989","2,425","2,564"
KARIRU,"2,779","1,376","1,403"
KATHERA,"2,210","1,049","1,161"
MURINGARI,"4,128","1,966","2,162"
KAMUMU,"2,003",961,"1,042"
NGAARI,"2,125","1,005","1,120"
NDURUMORI,"6,087","2,920","3,167"
KIENIRI,"2,750","1,312","1,438"
THAMBU,"3,337","1,608","1,729"
NGUTHI,"6,807","3,285","3,521"
NGUTHI,"3,318","1,596","1,722"
RWIRIA,"3,489","1,689","1,799"
MUMINJI,"19,221","9,417","9,804"
KARAMBARI,"4,864","2,449","2,415"
ITIIRA,"3,130","1,580","1,550"
KARAMBARI,"1,734",869,865
KIRIE,"4,520","2,111","2,409"
KIRIE,"1,842",858,984
NGUTHI,"2,678","1,253","1,425"
MUMINJI,"6,190","3,081","3,109"
GANGARA,"3,820","1,934","1,886"
KIVUE,"2,370","1,147","1,223"
MUTITU,"3,647","1,776","1,871"
CIERIA,"1,950",954,996
MUTITU,"1,697",822,875
NTHAWA,"39,040","19,864","19,174"
GITIBURI,"7,161","3,719","3,442"
GITIBURI,"3,171","1,649","1,522"
MUCHONOKE,"3,990","2,070","1,920"
NTHAWA,"13,714","6,791","6,923"
KUNE,"4,654","2,372","2,282"
SIAKAGO,"9,060","4,419","4,641"
RIANDU,"12,375","6,361","6,012"
MUTHANU,"5,083","2,637","2,446"
RIANDU,"7,292","3,724","3,566"
THURA,"5,790","2,993","2,797"
KWANDUAMBOGO,"2,768","1,435","1,333"
THURA,"3,022","1,558","1,464"
MT. KENYA FOREST,22,19,3
MT. KENYA FOREST,22,19,3
MT. KENYA FOREST,22,19,3
MT. KENYA FOREST,22,19,3
KITUI,"1,136,187","549,003","587,151"
IKUTHA,"82,964","39,986","42,976"
ATHI,"37,736","18,252","19,482"
ATHI,"16,296","7,971","8,324"
KILAWA,"3,766","1,875","1,891"
KISIIO,"3,345","1,676","1,669"
KITUTI,"9,185","4,420","4,764"
KALIVU,"11,286","5,374","5,912"
KALIVU,"3,701","1,698","2,003"
KATILINI,"3,645","1,781","1,864"
MAKAIYE,"3,940","1,895","2,045"
MALUMA,"10,154","4,907","5,246"
MALUMA,"5,221","2,526","2,695"
MONGUNI,"2,095","1,001","1,094"
MUAMBANI,"2,838","1,380","1,457"
IKUTHA,"27,619","13,246","14,373"
IKUTHA,"14,527","6,906","7,621"
KIANGU,"4,239","1,965","2,274"
KYOANI,"3,193","1,515","1,678"
MAAINI,"1,013",494,519
NDILI,"4,413","2,137","2,276"
NGAWUNI,"1,669",795,874
KASAALA,"13,092","6,340","6,752"
KASAALA,"3,380","1,612","1,768"
NGWATE,"3,229","1,565","1,664"
NZAMBA,"2,915","1,421","1,494"
UIINI,"3,568","1,742","1,826"
KANZIKO,"17,505","8,387","9,118"
KANZIKO,"9,874","4,725","5,149"
KEUTUNDA,"2,048","1,024","1,024"
KITUVWI,"2,286","1,119","1,167"
KIVANDENI,"2,420","1,126","1,294"
KYANYAA,"1,267",575,692
MWANIANGA,"1,853",881,972
SIMISI,"7,631","3,662","3,969"
EKANI,"3,179","1,507","1,672"
ILAMBA,"1,540",783,757
SIMISI,"2,912","1,372","1,540"
TSAVO EAST NATIONAL PARK,104,101,3
TSAVO EAST NATIONAL PARK,104,101,3
TSAVO EAST NATIONAL PARK,104,101,3
KATULANI,"47,108","23,150","23,957"
KATULANI,"47,108","23,150","23,957"
ITOLEKA,"4,852","2,431","2,420"
ITOLEKA,"2,913","1,470","1,442"
KAKUUNI,"1,939",961,978
KATHUNGI,"3,166","1,536","1,630"
KATHUNGI,"3,166","1,536","1,630"
KATULANI,"8,487","4,042","4,445"
KATULANI,"5,137","2,441","2,696"
KWA MULI,"3,350","1,601","1,749"
KAVISUNI,"5,027","2,425","2,602"
KAVISUNI,"5,027","2,425","2,602"
KAVUTA,"4,320","2,136","2,184"
IVOVOA,"1,475",766,709
KAVUTA,"1,317",624,693
MANGINA,"1,528",746,782
MALIKU,"3,675","1,805","1,870"
MALIKU,"3,675","1,805","1,870"
MULANGO,"6,485","3,252","3,233"
KYAMBITI,"2,948","1,454","1,494"
KYANGUNGA,"3,537","1,798","1,739"
WII,"2,836","1,348","1,488"
WII,"2,836","1,348","1,488"
WIKILILYE,"8,260","4,175","4,085"
WIKILILYE,"8,260","4,175","4,085"
KISASI,"46,142","22,646","23,496"
KISASI,"46,142","22,646","23,496"
KATWALA,"8,544","4,178","4,366"
KANZAU,"3,733","1,826","1,907"
KATWALA,"4,811","2,352","2,459"
KISASI,"5,407","2,719","2,688"
KALATINE,615,308,307
MASIMBINI,"4,792","2,411","2,381"
KITUNGATI,"4,593","2,231","2,362"
KITUNGATI,"4,593","2,231","2,362"
MBITINI,"8,525","4,219","4,306"
MBITINI,"8,525","4,219","4,306"
MBUSYANI,"8,025","3,909","4,116"
MBUSYANI,"3,017","1,469","1,548"
MUKAMENI,"1,593",792,801
NGUUNI,"1,991",964,"1,027"
UNG'AATU,"1,424",684,740
MOSA,"3,918","1,922","1,996"
MOSA,"3,918","1,922","1,996"
NGANGANI,"4,166","2,068","2,098"
NGANGANI,"4,166","2,068","2,098"
NGILUNI,"2,964","1,400","1,564"
KASEVI,"1,071",497,574
KAVASYA,993,476,517
NGILUNI,900,427,473
KITUI CENTRAL,"105,991","52,123","53,863"
CENTRAL,"87,215","43,145","44,066"
IVAINI,"5,222","2,409","2,812"
IVAINI,"1,598",747,851
KASYALA,"2,300","1,055","1,244"
KWA-MUTHEKE,"1,324",607,717
KYANGWITHYA EAST,"13,385","6,571","6,813"
KWA-NGINDU,"2,318","1,156","1,162"
KYALILINI,"2,835","1,362","1,473"
MISEWANI,"2,111","1,059","1,052"
MUSEVE,"4,276","2,050","2,225"
NZUNGUNI,"1,845",944,901
KYANGWITHYA WEST,"11,278","5,611","5,667"
MULUTU,"3,875","1,910","1,965"
NDUMONI,"1,834",916,918
TIVA,"1,726",878,848
UTOONI,"3,843","1,907","1,936"
MULUNDI,"7,444","3,738","3,706"
MULUNDI,"7,444","3,738","3,706"
MUTUNE,"11,316","5,735","5,580"
KATYETHOKA,"2,046","1,045","1,001"
KAVETA,"5,107","2,585","2,521"
MUTUNE,"4,163","2,105","2,058"
TOWNSHIP,"4,762","2,493","2,268"
KALUNDU,"4,762","2,493","2,268"
TUNGUTU,"33,808","16,588","17,220"
MANYENGO,"4,444","2,250","2,194"
MBUSYANI,"1,823",920,903
TOWNSHIP,"20,742","9,959","10,783"
TUNGUTU,"3,262","1,653","1,609"
UNYAA,"3,537","1,806","1,731"
MIAMBANI,"18,776","8,978","9,797"
KAMANDIO,"3,469","1,691","1,778"
KAMANDIO,"3,469","1,691","1,778"
KANZAU,"2,322","1,129","1,193"
MALILI,"2,322","1,129","1,193"
MIAMBANI,"12,985","6,158","6,826"
MAKAANI,"2,006",925,"1,081"
MUNG'ANG'A,"3,823","1,817","2,005"
MUTULA,"4,884","2,343","2,541"
NZAAYA,"1,223",565,658
VINDA,"1,049",508,541
KITUI WEST,"70,871","33,887","36,983"
KAUWI,"29,009","13,986","15,022"
KATUTU,"5,653","2,725","2,928"
KASAKINI,"1,376",671,705
NZALAE,"2,444","1,159","1,285"
KATUTU,"1,833",895,938
KAUWI,"10,313","4,944","5,369"
KAUWI,"5,890","2,759","3,131"
KYONDONI,"2,252","1,137","1,115"
KATHEKA,"2,171","1,048","1,123"
KIVANI,"4,455","2,141","2,314"
KIVANI,"2,111",997,"1,114"
KANGUNGI,"2,344","1,144","1,200"
MUTANDA,"3,416","1,645","1,770"
MUTANDA,"2,153","1,056","1,097"
SANGALA,"1,263",589,673
MUTINI,"2,403","1,145","1,258"
KISEVENI,"1,575",741,834
MUTINI,828,404,424
KYENGE,"2,769","1,386","1,383"
KISAYANI,"1,233",599,634
KYENGE,"1,536",787,749
MUTONGUNI,"22,803","10,844","11,959"
KAIMU,"13,901","6,621","7,280"
KAIMU,"8,521","4,050","4,471"
MITHINI,"5,380","2,571","2,809"
KAKEANI,"8,902","4,223","4,679"
IIANI,"2,022",975,"1,047"
KANGII,"3,482","1,639","1,843"
KAKEANI,"3,398","1,609","1,789"
USIANI,"19,059","9,057","10,002"
KANGONDO,"4,846","2,318","2,528"
KANGONDI,"4,846","2,318","2,528"
MUSENGO,"6,975","3,362","3,613"
KAKUMUTI,"1,953",947,"1,006"
MUSENGO,"5,022","2,415","2,607"
USIANI,"4,820","2,245","2,575"
KAVALO,"2,312","1,092","1,220"
USIANI,"2,508","1,153","1,355"
YALATANI,"2,418","1,132","1,286"
YALATANI,"2,418","1,132","1,286"
KYUSO,"76,867","36,789","40,077"
KAMUWONGO,"16,383","7,855","8,528"
ITIVANZOU,"4,287","2,007","2,280"
ITIVANZOU,"2,367","1,096","1,271"
TULANDULI,"1,920",911,"1,009"
KAMUWONGO,"5,323","2,608","2,715"
KAMUWONGO,"3,239","1,587","1,652"
KYANDOO,"2,084","1,021","1,063"
TYAA KAMUTHALE,"6,773","3,240","3,533"
KAMUTHALE,"2,016",947,"1,069"
KATOONI,"2,206","1,074","1,132"
NDOO,"2,551","1,219","1,332"
KYUSO,"26,987","12,959","14,027"
KIMANGAO,"9,085","4,318","4,767"
KIMANGAO,"4,472","2,180","2,292"
KISEUNI,"2,130","1,034","1,096"
MASEKI,"2,483","1,104","1,379"
KIMU,"5,181","2,509","2,672"
KANDWIA,"1,656",830,826
KIMU,"2,024",952,"1,072"
MBANGWANI,"1,501",727,774
KYUSO,"7,312","3,536","3,776"
GAI,"7,312","3,536","3,776"
NGAAIE,"5,409","2,596","2,812"
KAGHUI,"2,401","1,126","1,274"
NGAAIE,"1,553",768,785
NZAALANI,"1,455",702,753
MIVUKONI,"10,509","5,030","5,479"
KAMULA,"2,694","1,322","1,372"
IVONANGYA,"1,359",668,691
KAMULA,"1,335",654,681
MIVUKONI,"4,053","1,898","2,155"
KATUKA,"2,516","1,209","1,307"
MATAKA,"1,537",689,848
TWIMYUA,"3,762","1,810","1,952"
KAKOONGO,"1,773",838,935
TWIMYUA,"1,989",972,"1,017"
NGOMENI,"22,988","10,945","12,043"
KAMUSILIU,"3,715","1,755","1,960"
KATHAALANI,869,413,456
NDATANI,"1,189",561,628
KAMUSILIU,"1,657",781,876
KAVAANI,"7,539","3,604","3,935"
IKIME,"2,900","1,396","1,504"
KAVAANI,"1,980",930,"1,050"
MANDONGOI,"2,659","1,278","1,381"
MITAMISYI,"6,970","3,326","3,644"
KIMELA,"2,727","1,278","1,449"
MITAMISYI,"1,700",813,887
TUMANA,"2,543","1,235","1,308"
NGOMENI,"4,764","2,260","2,504"
KALWA,"2,228","1,073","1,155"
KAVUTI,"2,536","1,187","1,349"
LOWER YATTA,"63,329","31,701","31,628"
KANYANGI,"24,078","11,908","12,170"
KALULINI,"5,545","2,632","2,913"
NGOMONI,"2,974","1,394","1,580"
SYOMUNYU,"2,571","1,238","1,333"
KANYANGI,"4,791","2,336","2,455"
KAVANGI,"1,563",735,828
SYOMAKANDA,"3,228","1,601","1,627"
KANYONGONYO,"2,902","1,476","1,426"
KANYONGONYO,976,497,479
KILUMYA,"1,926",979,947
KISEUNI,"3,156","1,560","1,596"
KISEUNI,"2,010",989,"1,021"
KITHIANI,"1,146",571,575
MANDONGOI,"5,244","2,651","2,593"
KISAYANI,"1,558",768,790
MANDONGOI,"1,428",747,681
MASIMBA,"2,258","1,136","1,122"
NZAMBIA,"2,440","1,253","1,187"
NZAMBIA,"1,702",894,808
YAMUNYU,738,359,379
KWA VONZA,"16,740","8,728","8,012"
KANYONYOO,"7,868","4,303","3,565"
KANYONYOO,"3,823","2,250","1,573"
MWAKINI,"4,045","2,053","1,992"
KWA VONZA,"4,768","2,393","2,375"
TANGANYIKA,"4,768","2,393","2,375"
MIKUYUNI,"4,104","2,032","2,072"
MASAANI,"1,645",802,843
MIKUYUNI,"2,459","1,230","1,229"
YATTA,"22,511","11,065","11,446"
ILIKA,"4,556","2,193","2,363"
ILIKA,"1,519",731,788
WAIVUMBU,"3,037","1,462","1,575"
KAWONGO,"3,754","1,837","1,917"
KATHOME,"1,537",737,800
KAWONGO,"2,217","1,100","1,117"
NDUNGUNI,"2,179","1,056","1,123"
KYAITHANI,"1,279",629,650
NDUNGUNI,900,427,473
NTHILANI,"1,246",622,624
KWAKILYA,567,285,282
NTHILANI,679,337,342
NTHONGONI,"4,390","2,140","2,250"
KATHEMBONI,"2,325","1,117","1,208"
MUVITHA,"2,065","1,023","1,042"
YATTA,"6,386","3,217","3,169"
MAKUSYA,"2,128","1,071","1,057"
MAMOLE,"1,549",779,770
NYANYAA,"2,709","1,367","1,342"
MATINYANI,"47,811","23,362","24,448"
KATHIVO,"13,983","6,828","7,155"
KASAINI,"2,321","1,126","1,195"
KASAINI,"1,296",641,655
MAKOLO,"1,025",485,540
KATHIVO,"2,293","1,102","1,191"
KALINDILO,"1,142",546,596
KATHIVO,"1,151",556,595
KITHUMULA,"3,482","1,683","1,799"
KITHUMULA,"1,938",945,993
NDIUNI,"1,544",738,806
KOMBU,"3,612","1,780","1,832"
KILIMU,"2,100","1,049","1,051"
KYUASI,"1,512",731,781
KWA-MULUNGU,"2,275","1,137","1,138"
KWA-MULUNGU,838,412,426
MASELELE,"1,437",725,712
KWA-MUTONGA,"8,239","4,090","4,149"
KWA-MUTONGA,"3,658","1,793","1,865"
KITHUIYANI,874,411,463
KWA-MUMO,"1,321",645,676
MUTONGA,"1,463",737,726
MITHIIKWANI,"2,639","1,329","1,310"
MIKUYU-MIKYA,938,471,467
MITHIIKWANI,"1,039",532,507
MIWONGONI,662,326,336
SYOKITHUMBI,"1,942",968,974
KALIMBEVO,598,289,309
SYOKITHUMBI,"1,344",679,665
MATINYANI,"25,589","12,444","13,144"
KALIMANI,"5,767","2,937","2,830"
KAVUVUU,"1,895",958,937
KYAMBUSYA,"2,320","1,183","1,137"
NZAKAME,"1,552",796,756
KAUMA,"6,300","2,931","3,369"
KAUMA,"3,527","1,636","1,891"
MUSOSYA,"2,773","1,295","1,478"
MATINYANI,"7,370","3,612","3,758"
KALIA,"2,080","1,023","1,057"
KATHEUNI,"2,181","1,096","1,085"
KYONDONI,"3,109","1,493","1,616"
MUTULU,"6,152","2,964","3,187"
KATHUMA,"4,083","2,025","2,057"
KITUMBI,512,242,270
MASEKI,"1,557",697,860
MIGWANI,"79,255","37,525","41,726"
MIGWANI,"32,931","15,616","17,312"
ITOLONI,"4,156","2,032","2,124"
KAVALYANI,"2,450","1,185","1,265"
ITOLONI,"1,706",847,859
KYOME,"3,977","1,909","2,068"
KYOME,"2,274","1,091","1,183"
NDALUNI,"1,703",818,885
MIGWANI,"7,251","3,403","3,848"
KALILUNI,"2,512","1,193","1,319"
KYAMBOO,"2,082",997,"1,085"
MIGWANI,"2,657","1,213","1,444"
NZAUNI,"9,854","4,674","5,179"
KIIKINI,"3,149","1,493","1,656"
MUIVU,"3,220","1,550","1,669"
NZAUNI,"3,485","1,631","1,854"
THOKOA,"7,693","3,598","4,093"
KASEVI,"2,458","1,165","1,291"
MUSUANI,"2,571","1,184","1,387"
THOKOA,"2,664","1,249","1,415"
NGUUTANI,"38,921","18,352","20,568"
NGUUTANI,"8,052","3,924","4,128"
KAKULULO,"4,716","2,280","2,436"
NZALAE,"3,336","1,644","1,692"
NGONGONI,"6,472","3,020","3,451"
KAVOLOI,"1,669",792,876
MATHUNZINI,"1,683",749,934
NGONGONI,"3,120","1,479","1,641"
NZAWA,"6,113","2,807","3,306"
MUTHIONI,"1,848",863,985
NZAWA,"4,265","1,944","2,321"
THITANI,"5,129","2,409","2,720"
